,,*,HP,Split1Phase,Air,<45000,0,0,T20 Std Table C-3,0,0,NA,SEER/HSPF req. covered by separate rule
,,*,HP,Split1Phase,Air,<65000,0,0,T20 Std Table C-3,0,0,NA,SEER/HSPF req. covered by separate rule
,,*,HP,*,Air,<65000,0,0,NA,0,0,NA,SEER/HSPF req. covered by separate rule
,,*,HP,*,Air,<135000,11,12.2,T24 Std Table 110.2-B,3.3,2.25,T24 Std Table 110.2-B,
,,*,HP,*,Air,<240000,10.6,11.6,T24 Std Table 110.2-B,3.2,2.05,T24 Std Table 110.2-B,
,,*,HP,*,Air,>=240000,9.5,10.6,T24 Std Table 110.2-B,3.2,2.05,T24 Std Table 110.2-B,
,,*,HP,*,WaterSource,<17000,11.2,0,Appl Std Table C-4,4.2,0,Appl Std Table C-4,
,,*,HP,*,WaterSource,<65000,12,0,Appl Std Table C-4,4.2,0,Appl Std Table C-4,
,,*,HP,*,WaterSource,<135000,13,0,T24 Std Table 110.2-B,4.3,0,T24 Std Table 110.2-B,
,,*,HP,*,WaterSource,<240000,12.3,0,Appl Std Table C-4,2.9,0,Appl Std Table C-4,
,,*,HP,*,WaterSource,<760000,12.2,0,Appl Std Table C-4,0,0,Appl Std Table C-4,
,,*,HP,*,WaterSource,>=760000,0,0,NA,0,0,NA,No min eff req
,,*,HP,*,GroundwaterSource,<135000,18,0,T24 Std Table 110.2-B,3.7,0,T24 Std Table 110.2-B,
,,*,HP,*,GroundwaterSource,>=135000,0,0,NA,0,0,NA,
,,*,HP,*,GroundSource,<135000,14.1,0,T24 Std Table 110.2-B,3.2,0,T24 Std Table 110.2-B,
,,*,HP,*,GroundSource,>=135000,0,0,NA,0,0,NA,No min eff req
,,*,AC,CRAC,Air,<65000,11,0,Appl Std Table C-9,0,0,NA,
,,*,AC,CRAC,Air,<135000,10.4,0,Appl Std Table C-9,0,0,NA,
,,*,AC,CRAC,Air,<240000,10.2,0,Appl Std Table C-9,0,0,NA,
,,*,AC,CRAC,Air,>=240000,10.2,0,CBECC Default,0,0,NA,
,,*,VRF,AC,Air,<65000,0,0,T24 Std Table 110.2-H,0,0,NA,SEER req. covered by separate rule
,,*,VRF,AC,Air,<135000,11.2,0,T24 Std Table 110.2-H,0,0,NA,
,,*,VRF,AC,Air,<240000,11,0,T24 Std Table 110.2-H,0,0,NA,
,,*,VRF,AC,Air,>=240000,10,0,T24 Std Table 110.2-H,0,0,NA,
,,*,VRF,HP,Air,<65000,0,0,T24 Std Table 110.2-I,0,0,NA,SEER/HSPF req. covered by separate rule
,,*,VRF,HP,Air,<135000,11,14.6,T24 Std Table 110.2-I,3.3,2.25,T24 Std Table 110.2-I,
,,*,VRF,HP,Air,<240000,10.6,13.9,T24 Std Table 110.2-I,3.2,2.05,T24 Std Table 110.2-I,
,,*,VRF,HP,Air,>=240000,9.5,12.7,T24 Std Table 110.2-I,3.2,2.05,T24 Std Table 110.2-I,
,,*,VRF,HP,WaterSource,<65000,12,15.8,T24 Std Table 110.2-I,4.3,0,T24 Std Table 110.2-I,
,,*,VRF,HP,WaterSource,<135000,12,15.8,T24 Std Table 110.2-I,4.3,0,T24 Std Table 110.2-I,
,,*,VRF,HP,WaterSource,<240000,10,13.8,T24 Std Table 110.2-I,4,0,T24 Std Table 110.2-I,
,,*,VRF,HP,WaterSource,>=240000,10,12,T24 Std Table 110.2-I,3.9,0,T24 Std Table 110.2-I,
,,*,VRF,HP,GroundwaterSource,<135000,16.2,0,T24 Std Table 110.2-I,3.6,0,T24 Std Table 110.2-I,
,,*,VRF,HP,GroundwaterSource,>=135000,13.8,0,T24 Std Table 110.2-I,3.3,0,T24 Std Table 110.2-I,
,,*,VRF,HP,GroundSource,<135000,13.4,0,T24 Std Table 110.2-I,3.1,0,T24 Std Table 110.2-I,
,,*,VRF,HP,GroundSource,>=135000,11,0,T24 Std Table 110.2-I,2.8,0,T24 Std Table 110.2-I,
,ENDTABLE,,,,,,,,,,,,
